nat_id,nat_nameTH,nat_nameEN,lat,long,x (easting) ,y (northing),Description
1,ทะเลหมอก กิ่วแม่ปาน,Kew Mae Pan nature trail,18.5481453,98.340377,430388.27,2050959.37,กิ่วแม่ปาน เส้นทางเดินศึกษาธรรมชาติระยะสั้นใน อุทยานแห่งชาติดอยอินทนนท์ ค่ะ ที่นี่เป็นจุดชมพระอาทิตย์ขึ้น และทะเลหมอกที่สวยงามมากๆ อีกแห่งในเชียงใหม่เลยทีเดียว
2,สวนพฤกษศาสตร์สมเด็จพระนางเจ้าสิริกิติ์,Queen Sirikit Botanic Garden,18.8988835,98.8583747,485084.99,2089645.22,สวนพฤกษศาสตร์สมเด็จพระนางเจ้าสิริกิติ์ อำเภอแม่ริม เป็นอีกหนึ่งที่เที่ยวยอดฮิตสำหรับคนรักธรรมชาติ ต้นไม้ ดอกไม้ ภายในมีนิทรรศการเกี่ยวกับพรรณไม้ไทย เรือนกระจกขนาดใหญ่ที่รวบรวมพรรณไม้ในเขตป่าดงดิบ จากทั่วทุกภูมิภาคของทวีปเอเชียมาจัดแสดง เสมือนว่าได้เข้าไปอยู่ในป่าจริงๆ เลยเดียว
3,ดอยหลวงเชียงดาว,Doi Chiang Dao,19.3922179,98.8323417,482395.75,2144234.98,"ดอยหลวงเชียงดาว เป็นที่เที่ยวอีกแห่งของเชียงใหม่ที่ความสวยงามและมีอุดมสมบูรณ์ของธรรมชาติมากๆ อีกทั้งยังเป็นยอดดอยที่สูงเป็นอันดับ 3 ของประเทศไทยในความสูงที่ 2,275 เมตร จากระดับน้ำทะเล แน่นอนว่า อากาศบนนี้จะดีมากๆ จนทำให้ใครๆ ก็อยากขึ้นไป กอดหมอก สัมผัสความงดงามของธรรมชาติ"
4,น้ำตกแม่สา,Mae Sa Waterfall,18.906237,98.8949658,488939,2090456.12,น้ำตกแม่สา น้ำตกขนาดใหญ่ที่มีความสวยงามในอำเภอแม่ริม และน่าเที่ยวไม่แพ้น้ำตกแห่งอื่นในจังหวัดเชียงใหม่เลยค่ะ ด้วยมีสายน้ำไหลชุ่มฉ่ำตลอดทั้งปี และมีจุดให้ลงเล่นน้ำอยู่หลายแห่งอีกด้วย บอกเลยว่าสดชื่น
5,สวนสนบ่อแก้ว,Bo Kaeo Pine Tree Garden,18.1566228,98.3863315,435091.98,2007622.16,สวนสนบ่อแก้ว ที่เที่ยว Unseen อีกแห่งของเชียงใหม่ สวยหยั่งกับเกาะนามิ เกาหลีเลยทีเดียว ที่นี่ตั้งอยู่เลยอุทยานแห่งชาติออบหลวงไปประมาณ 22 กิโลเมตร เป็นพื้นที่ทดลองปลูกสนภูเขาชนิดต่างๆ ทำให้มีต้นสนสูงเรียงรายไปอย่างสวยงาม 
6,ผาช่อ ,Phachor (Mae Wang National Park),18.4979165,98.7268616,471167.05,2045296.26,หน้าผาสุดอลังการกลางป่า ที่เที่ยวธรรมชาติ เชียงใหม่ ที่ต้องเช็คอิน ไปถ่ายรูปสวยๆ กันที่ ผาช่อ ที่เที่ยวสวย ที่เกิดจากการกัดเซาะของลมฝน จนกลายเป็นแผ่นดินที่สูงถึง 30 เมตร และเป็นหน้าผาตลอดแนวยาว ซึ่งจะมีลวดลายสวยงามอีกด้วย
7,ทุ่งดอกไฮเดรนเยีย ,Royal Project Khun Pae,18.5697388,98.5276185,450155.11,2053286.56,ทุ่งดอกไฮเดรนเยีย สีม่วง โครงการหลวงขุนแปะ ซึ่งจะบานเต็มที่ในช่วงเดือนพฤศจิกายน-เดือนกุมภาพันธ์ ของทุกปี ทำให้ในทุกๆ หน้าหนาว ที่นี่จึงเป็นที่เที่ยวสวยที่ต้องไม่พลาดไปเช็คอิน
8,จุดชมวิวดอยกิ่วลม ,Doi Kiew Lom View Point,19.3138177,98.6019834,458187.65,2135599.35,อุทยานแห่งชาติห้วยน้ำดัง จุดชมวิวสุดปัง ที่เที่ยวธรรมชาติ เชียงใหม่ ที่ต้องแวะไปสักครั้ง นอกจากธรรมชาติอันอุดมสมบูรณ์แล้ว ไฮไลท์ของที่นี่ก็คือ การมาเที่ยว ฟินไปกับทะเลหมอกที่ จุดชมวิวดอยกิ่วลม ซึ่งเป็นจุดที่เราจะได้เห็นทะเลหมอกในยามเช้า และชมพระอาทิตย์ขึ้น
9,ป่าสนวัดจันทร์ โครงการบ้านวัดจันทร์,Wat Chan Royal Project,19.080734,98.3306603,429584.81,2109894.99,โครงการหลวงวัดจันทร์ เป็นจุดเที่ยวชมธรรมชาติ และถ่ายรูปที่สวยงามมากๆ โดยเฉพาะในช่วงหน้าหนาว ที่นี่จะปกคลุมไปด้วยสายหมอก และอากาศเย็นๆ รวมถึงต้นไม้ที่เปลี่ยนสีสวยงาม นอกจากนี้ ที่นี่ยังมี เส้นทางศึกษาธรรมชาติไว้สำหรับนักท่องเที่ยวที่อยากใกล้ชิดกับธรรมชาติ
10,อ่างกา ,Kew Mae Pan Nature Trail,18.5887464,98.4837071,445527.53,2055402.34,อ่างกา หรือ เส้นทางศึกษาธรรมชาติอ่างกา ตั้งอยู่บนยอดของ ดอยอินทนนท์ ที่นี่ได้ชื่อว่าเป็น ป่าโบราณ ซึ่งเป็นต้นน้ำเหนือสุดของประเทศไทย ภายในป่าจะถูกปกคลุมด้วยเมฆตลอดเวลา 
11,น้ำตกแม่ยะ ,Mae Ya Water Fall,18.4397736,98.5959778,457336.16,2038889.12,นอกจากดอยอินทนนท์จะมีทั้งทะเลหมอก อากาศหนาวๆ ให้เราได้สัมผัสธรรมชาติอย่างใกล้ชิดแล้ว อีกแห่งที่น่าไปเที่ยวไม่แพ้กันก็คือ น้ำตกแม่ยะ น้ำตกสวย เที่ยวได้ทั้งปีซึ่งตั้งอยู่ในเขตอุทยานแห่งชาติดอยอินทนนท์แห่งนี้
12,ขุนช่างเคี่ยน ,Khun Changkhian ,18.8408239,98.8984065,489297.11,2083218.19,ขุนช่างเคี่ยน ป็นศูนย์วิจัยเกี่ยวกับพืชเมืองหนาวของคณะเกษตรศาสตร์ มหาวิทยาลัยเชียงใหม่ แต่ภายหลังก็ได้กลายเป็นแหล่งท่องเที่ยวเชิงการเกษตรไปด้วยในตัว และเปิดให้นักท่องเที่ยวเข้าชมได้
13,ดอยอ่างขาง,Doi Ang Khang,19.869721,99.0374904,503924.87,2197065.17,ดอยอ่างขาง เป็นที่เที่ยวที่มีอากาศหนาวเย็นตลอดปี โดยเฉพาะในช่วงเดือนธันวาคม-มกราคม อากาศจะหนาวเย็นเป็นพิเศษจนน้ำค้างกลายเป็นน้ำค้างแข็ง หรือที่เรียกกันว่า แม่คะนิ้ง นั่นเอง
14,ดอยผ้าห่มปก ,Doi Pha Hom Pok National Park,19.9966004,99.1421363,514868.5,2211111.37,"ดอยผ้าห่มปก เป็นดอยที่สูงเป็นอันดับ 2 ของประเทศไทยค่ะ มีความสูงถึง 2,285 เมตร ตั้งอยู่ในเขตของ อุทยานแห่งชาติดอยผ้าห่มปก เพราะการเดินทางขึ้นไปบนยอดดอยสูงสุดของดอยผ้าห่มปกนั้น จำเป็นต้องเดินเท้าขึ้นไปเท่านั้น"
15,น้ำตกผาดอกเสี้ยว ,Pha Dok Sieo Nature Trail,18.5409389,98.5283333,450222.1,2050099.77,น้ำตกผาดอกเสี้ยว หรือ น้ำตกรักจัง แห่งนี้ ซึ่งเป็น 1 ในโลเคชั่นถ่ายทำภาพยนตร์สุดโรแมนติกเรื่อง รักจัง ในปี พ.ศ. 2549 นั่นเอง ที่นี่จึงเป็นอีกที่ที่ยวธรรมชาติที่บรรยากาศดี และถ่ายรูปสวยมากๆ ทีเดียว
16,อุทยานแห่งชาติออบหลวง,Op Luang National Park,18.222541,98.4796969,444988.25,2014885.01,อุทยานแห่งชาติออบหลวง กันค่ะ อุทยานฯ นี้จะมีช่องแคบเขาขาดที่มีหน้าผาหิน ขนานไปกับลำน้ำแม่แจ่ม ทำให้เกิดหุบเขาผาลึก โดยด้านบนของหน้าผา จะมีสะพานเชื่อมช่องเขาขาด เป็นจุดท่องเที่ยวให้นักท่องเที่ยวได้ชมความสวยงามของออบหลวง
17,น้ำตกตาดหมอก ,Tad Mork Waterfall,18.9622418,98.8534573,484572.88,2096656.03,น้ำตกตาดหมอก เป็นอีก ที่เที่ยวธรรมชาติ เชียงใหม่ ที่สวยงาม และสามารถเที่ยวได้ทุกฤดูกาลเลย แต่จะสวยงามเป็นพิเศษในช่วงฤดูหนาว ซึ่งเป็นช่วงเหมาะที่เราจะไปเที่ยวเชียงใหม่พอดีเลยทีเดียว
18,ดอยแม่โถ,Doi Mae To,19.0188878,99.377213,539697.37,2102959.95,ดอยแม่โถ ป็นยอดดอยซึ่งเป็นทุ่งหญ้ากว้าง 360 องศา สีเขียวกว้างขวาง สวยงามราวกับภาพในหนังเลยทีเดียว หันไปทางไหน ก็มีแต่ความสดชื่น เขียวขจี มีธรรมชาติดีๆ ล้อมรอบเราไปหมด สามารถถ่ายรูปเพลินๆได้เลย
19,น้ำตกมณฑาธาร,Montathan Waterfall,18.8225884,98.9150294,491047.37,2081199.53,นักท่องเที่ยวสามารถเที่ยวชมธรรมชาติได้เพียง 2 ชั้นเท่านั้น เพราะเส้นทางค่อนข้างที่จะอันตราย โดยชั้นที่ 1 จะเป็นน้ำตกสวยๆ ไหลลงมาด้านล่างให้เราได้ถ่ายรูปกัน และชั้นที่ 2 จะเป็นแอ่งน้ำใหญ่ ไม่ลึกมาก สามารถลงเล่นน้ำได้อีกด้วย
20,แม่กำปอง,Mae Kampong ,18.8646561,99.3512689,537001,2085888.72,ทุกคนพูดถึงแม่กำปอง ไม่ว่าจะเป็นบรรยากาศของหมู่บ้านที่เหมือนที่ญี่ปุ่นบ้าง ของกินสตรีทฟู้ดที่อร่อยจนต้องมาลอง และที่ฟินไปหลายตลบคืออากาศที่เย็นสบายตลอดปีโดยเฉพาะในช่วงกลางคืน พร้อมเสียงน้ำไหลให้จิตใจได้ผ่อนคลาย
21,ดอยอินทนนท์,Doi Inthanon,18.5880419,98.4695516,444033.81,2055328.8,ดอยอินทนนท์ สามารถขับรถยนต์ขึ้นยอดดอยได้เลย ตลอดเส้นทางหมายเลข 1009 มีที่เที่ยวมากมาย ตาม 6 จุดไฮไลท์ที่ไม่ควรพลาดบนเส้นทางเที่ยวดอยอินทนนท์ 
22,ดอยสุเทพ,Doi Suthep,18.8163877,98.8744348,486769.86,2080516.07,ดอยสุเทพมีแหล่งท่องเที่ยวต่างๆมากมายแต่ที่นักท่องเที่ยวมากันมาที่สุดเลยก็คือวัดพระธาตุดอยสุเทพนั่นเอง 
23,แกรนด์แคนยอน หางดง,Grand Canyon Water Park,18.6962666,98.8896924,488369.19,2067224.2,ถ้าคุณอยากจะเห็นศิลปะจากธรรมชาติสถานที่ที่คุณพลาดไม่ได้ก็คือแกรนด์แคนยอน ที่อำเภอหางดง บ่อน้ำมีสีเขียวมรกต ห้อมล้อมด้วยหน้าผาสูงใหญ่ถ้าคุณชอบถ่ายรูป คุณพลาดไม่ได้เด็ดขาด
24,ถ้ำเชียงดาว,Wat Tham Chiang Dao,19.393704,98.9264023,492272.22,2144392.51,ถ้าคุณชอบการสำรวจ ถ้ำเชียงดาว คือที่เที่ยวธรรมชาติ ที่คุณห้ามพลาดสิ่งที่คุณจะได้เจอก็คือความสวยงามที่เกิดขึ้นตามธรรมชาติ ทั้งหินงอก หินย้อยทั้งซอกซอยต่างๆ เมื่อคุณฉายไฟเข้าไปแล้ว สิ่งที่เกิดขึ้นก็คือจะเห็นเป็นประกาย ระยิบระยับ จนคุณต้องตะลึง
25,ป่าบงเปียง,Pa Bong Piang,18.5304646,98.4424215,441151.49,2048966.75,ที่นี่อาจจะเรียกได้ว่า เป็นนาขั้นบันไดที่สวยที่สุดในประเทศไทยเลยก็ได้เพราะว่า นาขั้นบันไดที่บ้านป่าบงเบียงนี้ กว้างไกลสุดลูกหูลูกตาโดยช่วงที่อยากแนะนำก็คือ เดือนกรกฎาคม-ตุลาคม เพราะนาจะมีความเขียวขจีสวยงามจาก สะกดทุกสายตา
26,โป่งแยง ซิปไลน์ แอนด์ จังเกิ้ล โคสเตอร์,Pongyang Jungle Coaster & Zipline,18.9168336,98.8193403,480976.1,2091635.08,ถ้าคุณเป็นคนชอบเที่ยวสายเอ็กซ์ตรีม ที่นี่คือที่เที่ยวเชียงใหม่แนวแอดเวนเจอร์ สุดฮิตซึ่ง โป่งแยง ซิปไลน์ แอนด์ จังเกิ้ล โคสเตอร์ มีเครื่องเล่นมากมายให้คุณได้ทดสอบความกล้า พร้อมความสนุกสุดเหวี่ยง
27,อุทยานแห่งชาติห้วยน้ำดัง,Huai Nam Dang National Park,19.303936,98.5966806,457628.11,2134507.15,อุทยาน แห่งนี้มีชื่อเสียงในการเป็นจุดชมวิวทะเลหมอกที่สวยติดอันดับต้นๆ ของประเทศเลยทีเดียว ที่นี่ครอบคลุมท้องที่อำเภอแม่แตง จังหวัดเชียงใหม่
28,ดอยม่อนจอง,Doi Mon Chong,17.4432306,98.5483006,452033.73,1928645.21,ขึ้นชื่อเรื่องภูเขาสวยต้อง ดอยม่อนจอง ภูเขาสูงสีทองสลับซับซ้อน ที่มีกุหลาบพันปีออกดอกสวยงามในช่วงฤดูหนาว ดอยม่อนจองอยู่ติดกับเมืองตาก ติดอันดับ 1 ใน 10 ของยอดดอยที่อยู่สูงที่สุดในประเทศ เป็นจุดชมพระอาทิตย์ขึ้นที่สวยงามมาก ๆ  
29,ม่อนวิวงาม,Mon View Ngarm,18.9331406,98.8126602,480274.6,2093440.14,ม่อนวิวงาม ตั้งอยู่บนยอดดอยของเชียงใหม่ อากาศเย็นสบายตลอดทั้งปี เหมาะกับมาชมวิวของแปลงผักเมืองหนาวนานาชนิดทั่วทั้งพื้นที่เพาะปลูกที่ชาวบ้านผลิตให้กับโครงการหลวง 
30,ดอยสองแสน สถานีวิจัยดอยปุย,Doi Pui Research Station,18.8120444,98.882224,487590.23,2080034.86,สถานีวิจัยดอยปุยเป็นสถานที่ศึกษาค้นคว้าวิจัยพืชเขตหนาว การอนุรักษ์ทรัพยากรธรรมชาติ เหมาะกับคนที่อยากเรียนรู้ระบบสิ่งแวดล้อมและธรรมชาติ การอนุรักษ์ต้นน้ำลำธาร
31,สันป่าเกี๊ยะ ดอยแม่ตะมาน,Watershed Management Unit of Mae Tamaan,19.3185456,98.8278133,481912.08,2136083.46,ชมวิวสวย และชื่นชมพืชทดลอง ผลไม้ฤดูหนาวได้ที่นี่ที่เดียว สถานีเกษตรที่สูงสันป่าเกี๊ยะ เป็นสถานีทดลองการเกษตร ของโครงการที่สูง ไทย-ออสเตรเลีย ตลอดทางนักท่องเที่ยวจะได้พบกับพืชพรรณ ภูเขา และทะเลหมอก 
32,ศูนย์วิจัยข้าวสะเมิง,Samoeng Rice Research Center,18.8475971,98.7680826,475568.57,2083980.51,ศูนย์วิจัยข้าวสะเมิงที่มีทุ่งข้าวสาลีให้เราได้ถ่ายรูปท่ามกลางบรรยากาศดีๆ ฟีลเกาหลีชวนฝันอีกแล้ว
33,อ่างเก็บน้ำห้วยตึงเฒ่า,Huay Tung Tao Reservoir,18.8665082,98.9388772,493561.7,2086058.07,อ่างเก็บน้ำห้วยตึงเฒ่าในอำเภอแม่ริม เป็นอีกหนึ่งที่เที่ยวเชียงใหม่ที่เพื่อนๆ จะได้ถ่ายรูปกับครอบครัวเจ้าคิงคองยักษ์ที่ทำจากฟาง เปรียบเสมือนบอดี้การ์ดส่วนตัว
34,กิ่วแม่ปาน,Kew Mae Pan,18.5616655,98.4583237,442840.36,2052413.91,กิ่วแม่ปาน เส้นทางศึกษาธรรมชาติของอุทยานแห่งชาติดอยอินทนนท์ ช่วงเวลาที่ดีที่สุดของการไปถ่ายรูปที่นี่ก็คือช่วงเช้า ตอนแสงแดดอ่อนๆ กระทบกับภูเขาที่อยู่เบื้องหน้า ยังไงก็ถ่ายรูปสวยสุดๆ แล้ว แต่ถ้าเพื่อนๆ ไปเที่ยวหน้าหนาวก็จะได้ของแถมเป็นทะเลหมอกสุดอลังการอีกด้วย
35,สวนสัตว์ เชียงใหม่,Chiang Mai Zoo,18.8105616,98.9457531,494284.08,2079867.64,สวนสัตว์เชียงใหม่ที่เราแนะนำให้เพื่อนๆ แต่งตัวเท่ๆ คลุมโทนด้วยสีกากีหรือสีเขียวขี้ม้าให้ดูเป็นนักผจญภัย แล้วไปถ่ายรูปกับสัตว์น้อยใหญ่ ไม่ว่าจะเป็นยีราฟ ม้าลาย สิงโต เสือ ช้าง แรด กวาง ฯลฯ ที่ให้ชมกันได้อย่างใกล้ชิดเพราะเป็นสวนสัตว์เปิด
36,ดอยม่อนอังเกตุ,Doi Mon Angket,19.0683564,98.6385768,461975.63,2108430.1,ดอยม่อนอังเกตุ มีเส้นทางออฟโรดสู่ยอดดอยที่สนุกสนาน สูงชัน สมบุกสมบันและแคบมากๆ เมื่อขึ้นไปดอยม่อนอังเกตุแล้วสามารถชมได้ทั้งพระอาทิตย์ขึ้นและพระอาทิตย์ตก มีวิวทะเลหมอก 360 องศา สามารถมองวิวได้ไกลถึงยอดดอยหลวงเชียงดาว ดอยอินทนนท์ และจุดไฮไลท์คือด้านบนมีพระพุทธรูปประดิษฐานอยู่ 
37,ออบขาน,Ob Khan National Park,18.723072,98.8193777,480958.3,2070196.07,ออบในภาษาเหนือคือภูเขาที่มีร่องน้ำไหลตัดจนเป็นร่อง ขานคือแม่น้ำขาน ต้องบอกเลยว่านอกจากความสวยแปลกตาของออบขาน บรรยากาศที่ออบขานยังดีสุดยอด มีจุดเหมาะๆ กับการเล่นน้ำตามลำธารเพียบไปหมด ไม่ว่าจะไปกี่ครั้งผมก็ไม่เคยเบื่อ
38,น้ำตกแม่สะป๊อก,Mae Sapok Waterfall,18.669289,98.6152537,459425.95,2064279.27,แม่สะป๊อกเป็นน้ำตกไม่ใหญ่แต่สวยงาม บรรยากาศดี เดินเท้าเข้าไปไม่ไกลนัก เหนื่อยกำลังดี เหมาะมาเที่ยวสัมผัสธรรมชาติอีกแห่งของเชียงใหม่
39,ขุนวาง,Royal Agricultural Research Centre Chiang Mai,18.6214412,98.5033419,447609.2,2059014.09,ที่นี่เป็นศูนย์วิจัยเกษตร ภารกิจก็คือศึกษาพัฒนาเรื่องการเกษตรทั้งหลาย แต่เพราะภายในพื้นที่ปลูกต้นนางพญาเสือโคร่งไว้เยอะมาก ถึงฤดูหนาวที่ดอกบานสะพรั่งเลยแปรเปลี่ยนเป็นที่เที่ยวสุดชิคสุดสวย ต้องบอกว่าห้ามพลาดจริงๆ
40,น้ำตกผาดอกเสี้ยว,Pha Dok Sieo Nature Trail,18.5409389,98.5283333,450222.1,2050099.77,น้ำตกสวยที่บ้านแม่กลางหลวง บนดอยอินทนนท์ซึ่งอุทยานฯ กำหนดให้ชาวบ้านกะเหรี่ยงปกาเกาะญอ ดูแลจัดการเรื่องการท่องเที่ยว น้ำตกใหญ่ สวยงาม มีหลายชั้น มีน้ำตลอดทั้งปี
41,น้ำตกสิริภูมิ,Siriphum Waterfall,18.5472274,98.5116428,448462.56,2050800.2,น้ำตกสิริภูมิเป็นน้ำตกสวยใหญ่ตกจากหน้าผาสูง มองเห็นได้ชัดจากหลายจุดที่บ้านขุนกลาง ยิ่งช่วงที่ดอกนางพญาเสือโคร่งสีชมพูบานสะพรั่ง บอกเลยคุณเอ๋ยว่าสวยสุดยอด ที่สำคัญเราสามารถเดินเที่ยวชมน้ำตกชั้นล่างได้ด้วย
42,ม่อนจอง,Mon Jung,17.5683056,98.5220513,449280.9,1942489.5,ดอยม่อนจอง เส้นทางเดินป่าสุดฮิปสุดชิคที่ได้รับความนิยมจากนักท่องเที่ยวสายธรรมชาติ และมือใหม่ที่เพิ่งเริ่มต้นกิจกรรมเทรคกิ้งเดินป่าอย่างมาก เพราะไม่เพียงจะสวยเด่นสะดุดใจ เส้นทางที่นี่ยังเดินไม่ยากมาก
43,เขื่อนแม่งัดสมบูรณ์ชล,Mae Ngat Somboon Chon Dam,19.1741473,99.0285291,502999.54,2120096.86,เขื่อนดินกักเก็บน้ำสำคัญของอำเภอแม่แตง แน่นอนว่าต้องเป็นสถานที่ท่องเที่ยวด้วย เพราะอยู่ในพื้นที่อุทยานแห่งชาติศรีลานนา
44,น้ำตกบัวตอง,Namtok Bua Tong,19.0693282,99.0771483,508116.45,2108500.26,น้ำตกบัวตองเป็นน้ำตกหินปูนมีสามชั้น ต้นน้ำมาจากน้ำผุด ทำให้น้ำใสแจ๋ว แถมมีดีตรงพื้นหินที่ไม่มีความลื่นเลย นักท่องเที่ยวพากันปีนป่ายเล่นน้ำอย่างสนุกสนาน
45,น้ำตกหมอกฟ้า,Mork Fa Water Fall,19.1127634,98.7725013,476071.88,2113320.06,หมอกฟ้าเป็นน้ำตกสูงกว่า 30 เมตร ทางเดินสู่ตัวน้ำตกนิดเดียวเท่านั้น แถมอุทยานฯ ยังมีลานกางเต็นท์ กับบ้านพักบรรยากาศดีให้บริการอีกต่างหาก ใครชอบความเงียบสงบตรงนี้เหมาะเลย เพราะนักท่องเที่ยวไม่เยอะมากนัก
46,โป่งเดือดป่าแป๋,Pong Dueat Hot Spring,19.2425233,98.6816923,466546.82,2127693.06,น้ำพุร้อนเดือดปุดๆ เดินเล่นตามเส้นทางศึกษาธรรมชาติ หรือใช้เวลาชิลๆ แช่บ่อน้ำร้อนที่จัดทำอย่างดี มีทั้งบ่อรวม หรือห้องส่วนตัวก็ตามชอบ มั่นใจว่ามาถึงที่นี่แล้วจะได้พักผ่อนสบายใจแน่นอน เป็นที่เที่ยวสไตล์บ่อน้ำร้อนธรรมชาติดีที่สุดแห่งหนึ่งของเชียงใหม่
47,น้ำตกศรีสังวาลย์ ,Sri Sangwan Waterfall,19.6294166,98.9533123,495104.86,2170474.11,น้ำตกหินปูนขนาดย่อมในพื้นที่ที่ทำการอุทยานแห่งชาติผาแดง อำเภอเชียงดาว ชื่อน้ำตกเป็นชื่อพระราชทานจากสมเด็จย่า มีทั้งหมดสามชั้น จัดทำโซนพักผ่อน ทางเดินชมธรรมชาติอย่างดี สายน้ำใสแจ๋วมีแอ่งน้ำสวยหลายจุด
48,ดอยเวียงผา,Doi Wiang Pha National Park,19.6645917,99.1929079,520221.61,2174377.21,ดอยเวียงผาเป็นดอยชื่อไม่ดังเมื่อเทียบกับเส้นทางเดินป่าอื่นๆ ของเชียงใหม่ แต่บอกเลยว่าสวยปังกำลังดี
49,น้ำพุร้อนฝาง,Fang Hot Spring National Park,19.965911,99.1520743,515911.17,2207716.24,บ่อน้ำร้อนชื่อดัง เป็นจุดท่องเที่ยวหลักของอำเภอฝางมานานหลายสิบปี เป็นที่ตั้งที่ทำการอุทยานแห่งชาติดอยผ้าห่มปกด้วย เพราะฉะนั้นรับประกันว่าสิ่งอำนวยความสะดวกบริการนักท่องเที่ยวทุกอย่าง
50,ถ้ำเมืองออน,Tham Muang On,18.7875116,99.235873,524857.01,2077332.87,ถ้ำท่องเที่ยวและถ้ำแห่งศรัทธาของชาวอำเภอเมืองออน แม้จะเป็นถ้ำตายคือไม่มีการเกิดหินงอกหินย้อยเพิ่มเติมอีกแล้วแต่ยังน่าเที่ยวมาก ไฮไลท์คือพระธาตุนมผาหรือหินงอกซึ่งมีลักษณะสูงใหญ่คล้ายพระธาตุ
51,น้ำพุร้อนสันกำแพง,San Kamphaeng Hot Springs,18.8118519,99.2225227,523446.77,2080024.18,ที่นี่เป็นน้ำพุร้อนซึ่งได้รับการพัฒนาเป็นสถานที่ท่องเที่ยวเชิงสุขภาพมานานหลายสิบปี กิจกรรมหลากหลายตามสไตล์การเที่ยวบ่อน้ำร้อน มีลานกางเต็นท์ บ้านพัก ร้านอาหาร ทุกสิ่งทุกอย่างให้บริการครบครัน
