accom_id,accom_nameTH,accom_nameEN,accom_type,lat,long ,x (easting),y (northing),price,web,tel,description
1,ออนเซน แอท ม่อนแจ่ม,Onsen At Moncham,รีสอร์ท,18.9253592,98.8205796,481107.64,2092578.22,"เริ่มต้นที่ 5,000 บาท",http://www.onsenmoncham.com/ ,053-111606,ที่พักในบรรยายกาศสไตล์ญี่ปุ๊น ญี่ปุ่นนน ที่ถูกล้อมรอบไปด้วยเทือกเขาและธรรมชาติ ที่นี่ถูกออกแบบมาเป็นที่พักสไตล์เรียวกัง มีออนเซ็นให้แช่ตามแบบฉบับญี่ปุ่นแท้ๆ มีห้องพักทั้งหมด 16 ห้อง ถึงแม้ว่าห้องจะน้อยแต่ก็มีห้องที่สามารถเข้าพักได้ตั้งแต่ 2 ท่าน จนถึง 12 ท่านเลยล่ะค่ะ นอกจากนี้ยังครบครันไปด้วย Glass House ห้องอาหาร ห้องสปา ออนเซ็น และห้องฟิตเนส เพื่อรองรับความสะดวกสบายให้แก่ผู้เข้าพักทุกคน ใครมาพักที่นี่จะไม่มีผิดหวังกลับไปแน่นอน
2,ม่อนแสนลี้,Mon saenli ,โฮมสเตย์,19.2135747,98.8422956,483422.95,2124466.84,1400 - 2800 บาท,https://reservation.roomscope.com/1690/th,097-973-3213,ม่อนแสนลี้ ที่พักในอำเภอแม่แตง การเดินทางจากตัวเมืองเชียงใหม่ใช้เวลาประมาณ 1 ชั่วโมงครึ่งเท่านั้น เส้นทางที่ไปยังม่อนแสนลี้ขับรถไม่ยากค่ะ จะมีช่วงที่เป็นเส้นทางชันแค่ช่วงสั้นๆ เท่านั้น พอมาถึงก็พบกับบรรยากาศที่เงียบสงบของหมู่บ้านล้อมรอบไปด้วยขุนเขา ตัวที่พักที่สร้างเป็นสไตล์เต็นท์มีหลังคา ตั้งลดหลั่นอยู่ท่ามกลางหุบเขา แต่ละเต็นท์จะมีระยะห่างให้ความเป็นส่วนตัว ด้านหน้าเต็นท์มีทุ่งนาที่ตอนนี้ข้าวกำลังออกรวงสวยงาม สำหรับห้องพักของที่นี่จะมีทั้งหมด 11 หลัง แบ่งเป็น 2 แถว แถวล่างจะเป็นที่พักสไตล์เต็นท์กระโจมธรรมดาแบบไม่มีอ่าง 3 หลัง แต่มีห้องน้ำในตัว พร้อมกับแอร์และเครื่องทำน้ำอุ่นแต่จะไม่มีทีวี ชั้นบนจะเป็นเต็นท์กระโจม VIP พร้อมอ่างจากุซซี่ 4 หลัง บ้านธรรมดา 1 หลัง บ้าน VIP พร้อมอ่างในห้องน้ำอีก 1 หลัง และโดมวิลล่าที่มาพร้อมสระน้ำขนาดกะทัดรัดอีก 1 หลัง สิ่งอำนวยความสะดวกหลัก มีเครื่องปรับอากาศ ทีวี ผ้าขนหนู น้ำดื่ม ห้องน้ำส่วนตัวพร้อมเครื่องทำน้ำอุ่นและปลั๊กไฟพร้อมกับไฟฟ้าที่มีบริการตลอด 24 ชั่วโมง ส่วนใครอยากทานอาหารก็ไม่ต้องออกไปไหนไกลเพราะทางที่พักมีบริการอาหารจานเดียว กับข้าว เซ็ตหมูกระทะ พร้อมกันนั้นยังมีบริการอาหารเช้า บริการตีฟองสำหรับห้องที่มีอ่างจากุซซี่ บริการอาหารเช้าลอยน้ำสำหรับวิลล่าพร้อมสระน้ำ บริการชุดเซ็ตอาหารตะกร้าสาน และยังมีพาเที่ยวไร่ส้มของที่พักฟรีอีกด้วย ใครอยากหาที่พักรับลมหนาวก็ลองเดินทางมาสัมผัสความสวยงามของม่อนแสนลี้แห่งนี้ได้เลย
3,คูลดาวส์ รีสอร์ท,Cool downs Resort,รีสอร์ท,18.9114782,98.9053041,490027.99,2091035.41,"เริ่มต้น 2,640 บาท",https://www.facebook.com/cooldowns/,"053-044304,082-3862555,082-7660222",ที่พักสไตล์โมเดิร์น ล้านนา ระดับ 4 ดาว ที่อยู่ในซอยน้ำตกแม่สา 8 ที่ต้อนรับสัตว์เลี้ยง ในส่วนของห้องพักจะมีทั้งหมด 12 ห้อง 4 รูปแบบ พักได้ตั้งแต่ 2 คนจนถึงห้องวิลล่า 6 คนเลยค่ะ ภายในห้องพักก็กว้างขวาง แบ่งเป็นสัดส่วนชัดเจน มีสิ่งอำนวยความสะดวกครบครัน นอกจากนี้ยังมี มองมา คาเฟ่ คาเฟ่ที่บริการทั้งอาหารไทย อาหารพื้นเมือง ขนมหวาน และเครื่องดื่ม รวมถึงมีคูลบาร์ บาร์บนชั้นดาดฟ้าให้ขึ้นไปนั่งชมวิวด้วยค่า แต่ถ้าใครที่อยากนวดผ่อนคลาย เค้าก็มีสปาให้บริการจ้า เรียกได้ว่าสุขทั้งคนทั้งสัตว์เลี้ยงเลย 
4,แอท นาตา เชียงใหม่ ชิควิว,At NaTa Chiangmai Chic View,รีสอร์ท,18.9397242,98.8671722,486014.83,2094163.33,"เริ่มต้นที่ 2,250 บาท",https://www.atnatachicview.com/th,"091-7351174 , 081-6031717",ที่พักสไตล์เก๋ แปลกใหม่ เพราะเค้าออกแบบมาในสไตล์ที่พักโมร็อคโคสีสันสดใส ที่มีห้องพักทั้งหมด 11 ห้อง 4 รูมไทป์ มีทั้งห้องที่ติดริมสระว่ายน้ำและห้องพักวิวสวนให้เลือกพักค่ะ ภายในห้องพักก็จะตกแต่งในสไตล์วินเทจเพื่อให้เข้ากับสไตล์ของโรงแรม มีตั้งแต่ห้องที่พักได้ 2 ท่านจนถึง 4 ท่านเลย นอกจากนี้ยังมีสระว่ายน้ำ คาเฟ่ ร้านอาหาร ห้องประชุมไว้บริการผู้เข้าพักอีกด้วย 
5,อยู่ดินกินดีฟาร์มสเดย์,youdinkindee,โฮมสเตย์,18.9005548,98.9070925,490215.75,2089826.71,"เริ่มต้นช่วง Low  1,000 บาท , ราคาเริ่มต้นช่วง Hi 1,600 บาท ",http://www.youdinkindee.com/,091-4798687,ที่นี่เป็นฟาร์มสเตย์ท่ามกลางความร่มรื่นของต้นไม้และทุ่งนา ในส่วนของบ้านพักจะเป็นบ้านพักสไตล์บ้านดิน สีสันน่ารัก ตั้งอยู่กลางทุ่งนา มีทั้งหมด 7 หลัง ซึ่งมีตั้งแต่ห้องที่สามารถพักได้ตั้งแต่ 2 ท่าน จนถึง 6 ท่านเลย ไม่ว่าจะมาพักเป็นคู่หรือเป็นกลุ่มก็สบายเลยค่ะ ภายในบ้านก็ตกแต่งอย่างน่ารัก สีสันสดใสสุดๆ เรียกได้ว่าเป็นที่พักราคาสบายกระเป๋าท่ามกลางธรรมชาติทุ่งนาและสวนร่มรื่นที่น่าไปพักอีกที่นึงเลย
6,เดอะกระโจม แม่ริม,TheKrajom,รีสอร์ท,18.9008031,98.9090598,490422.91,2089854.04,ราคาท่านละ 1500 บาท,https://www.facebook.com/pages/category/Product-Service/TheKrajom-%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%82%E0%B8%88%E0%B8%A1-%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%A3%E0%B8%B4%E0%B8%A1-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-100942467994070/,061-4532653,ที่พักรูปแบบแคมป์กระโจมริมทุ่งนา ที่จะเปิดแค่ช่วงหน้าหนาวตั้งแต่เดือนตุลาคมจนถึงปลายเดือนมกราคม ที่นี่มีกระโจมติดแอร์ทั้งหมด 6 หลัง มีตั้งแต่แคมป์ที่พักได้ 2 ท่านถึง 4 ท่านเลย โดยทุกห้องจะหันหน้าไปทางทุ่งนา เมื่อถึงช่วงทำนาทุ่งนาก็จะเขียวขจีบอกเลยว่าสวยงามมากๆ
7,พักแรม รีสอร์ท,Pak Ram Resort,รีสอร์ท,18.927451,98.9053258,490031.26,2092802.77,"Low Season เริ่มต้น 2,000 บาท , Hi Season เริ่มต้น 3,000 บาท ",https://www.facebook.com/PAKRAMVILLA/?__tn__=kC-R&eid=ARBI6cekliJDQdgWz0Pq6IrKLlbykN9dxSLYz-_gjQzrPHNlgq5yeafaZmb7h5dKwDuqNOfdDwQn90zI&hc_ref=ARSh_wiq_85IzVyfJvez7I_Q2TnJWE668HtvT2tiQ-XVqG2njK9OprF72l3H1VeEgFY&__xts__[0]=68.ARBH1zd_KIC6Kd-NSVmQWSgB7kQlmfeA_lpWK2BXcrK8CLKXrQLykw-NY3rUPvbEn8TVY4eNsiz5vu2ulfnywfUpwuanSWhyCVl-JiUh6SLdWOPJYG6ThQbjPuixhdfDQSXz5nL7s83RxMAkee5l1vkCYhRVsYDx1DWvUKoiukBYVm3w9sJL4KKVruvBFsFNniCR9dpMPRNduzTcR6VGptQadYIDP7kUMJo1IDG7uDXtBgmWB-1nzkAj0KWv3K8WcIExzGGgpZFGOMyq5nKy8KrDIhhnPnlBJRnXO4sucytPpXLl6qb5587p4974WwnrgS41HWV_cs6E-lqkGibFo73ftEE6CFeeDxKgLUr4MgNBGXrg3VHChdKy6yPhcrAKIGMi73t53AusxGc4mwPOZuhSbSTL27pvsTVysbHlOMLJ, 094-6961456,รีสอร์ทเป็นส่วนตัวเงียบสงบในสไตล์ล้านนา ท่ามกลางธรรมชาติ ที่มีบ้านพักเพียง 6 หลัง มาพร้อมสิ่งอำนวยความสะดวกครบครันมากมาย เรียกได้ว่าสะดวกสบาย ผ่อนคลายสุดๆ มาพักที่นี่นอกจากจะได้พักผ่อนกันอย่างเต็มที่แล้ว ตอนเช้าๆ วันไหนโชคดีก็อาจได้เห็นช้างมาเดินให้เราชมอีกด้วย
8,ภูแสงเทียน,Phusangthian,รีสอร์ท,18.9429242,98.7965701,478581.69,2094524.48,"เริ่มต้น 1,500 บาท",https://www.facebook.com/Phusangthian/  ,089 552 5114,ที่พักแสนน่ารักในรูปแบบเต็นท์และบ้านสไตล์มินิมอลเล็กๆ รายล้อมด้วยขุนเขาสลับกับแปลงเกษตรกรรมเป็นขั้นบันได บรรยากาศเงียบสงบและอากาศดีมาก ที่นี่มีห้องพักทั้งหมด 11 หลังด้วยกัน แบ่งเป็นบ้านไม้ไผ่ 3 หลัง และเต็นท์ 8 หลัง ทุกหลังมีสิ่งอำนวยความสะดวกที่จำเป็นครบครัน มีห้องน้ำและเครื่องทำน้ำอุ่นในตัว แถมยังมีระเบียงส่วนตัวให้ออกไปรับลม ชมวิวขุนเขาแบบรอบด้าน รวมถึงถ้าใครมาพักที่นี่ก็ยังสามารถสั่งชุดหมูจุ่มและหมาล่าสุดซี๊ดของที่พักมาลิ้มลองกันได้
9,พราวภูฟ้า รีสอร์ท,Proud Phu Fah  Chiang mai,รีสอร์ท,18.880821,98.8112987,480125.11,2087651.23,"เริ่มต้น  5,500-14,000 บาท",https://www.facebook.com/Proud-Phu-Fah-Chiang-mai-251464931532831/,"053-879389, 053-879286, 081-6477437, 053-879118",ที่พักน่ารักที่ถูกตกแต่งในสไตล์ Hip & Green Resort บ้านพักทุกหลังถูกรายล้อมไปด้วยธรรมชาติแห่งต้นไม้และสายน้ำ โดยจะแบ่งเป็น วิลล่าโซน คือโซนบ้านพักเป็นหลังๆ สำหรับใครที่ต้องการความเป็นส่วนตัว และ Phu Zone ซึ่งเป็นโซนเปิดใหม่ค่ะ เป็นอาคาร แบ่งเป็นห้องๆ มีทั้งหมด 3 ชั้น ตกแต่งคล้ายๆ กันแต่จะสามารถมองเห็นวิวภูเขาได้มากกว่าค่ะ  ใครที่ได้ไปพักจะสัมผัสได้ถึงความ สบาย ชิล เงียบสงบ และเป็นส่วนตัวสุดๆ ที่สำคัญไม่ไกลจากตัวเมืองใช้เวลาเดินทางแค่ 40นาทีเท่านั้น สะดวกสบาย แถมใกล้สถานที่ท่องเที่ยวสำคัญในตัวอำเภอแม่ริม
10,ฟลอร่า ครีค,Flora Creek Chiang Mai,รีสอร์ท,18.772676,98.8596583,485209.07,2075680.69,"เริ่มต้น 1,500 - 12,000บาท",https://www.floracreekchiangmai.com/th/,052-001400,ที่พักหรูทำเลดีที่ถูกล้อมรอบไปด้วยธรรมชาติ ลำธาร และขุนเขา ซึ่งในอดีตที่นี่เป็นพื้นที่ของสวนดอกไม้กฤษดาดอย แต่ในปัจจุบันได้เปลี่ยนมาเป็นที่พักสุดหรูในคอนเซ็ปต์ Coloured by Seasons ที่นำเอาความสวยของเฉดสีดอกไม้ตามฤดูกาลมาตกแต่งบรรยากาศภายในที่พัก ส่วนห้องพักก็มีให้เลือกหลากหลายค่ะ สิ่งอำนวยความสะดวกในห้องก็มีครบครัน สะดวกสบายสุดๆ นอกจากนี้ยังมีสระว่ายน้ำ ฟิตเนส และจักรยานให้ปั่นเล่นรอบรีสอร์ทกันอีกด้วย 
11,พอเทล เชียงใหม่,Pawtel Chiangmai,รีสอร์ท,18.9538735,98.9215529,491741.19,2095725.56,"เริ่มต้นที่ 2,000-3,500 บาท",www.pawtelchiangmai.com,053-044565,ที่พักน่ารักที่ตอบโจทย์เอาใจคนรักน้องหมาโดยเฉพาะ! ภายในที่พักแบ่งเป็น 2 โซน คือ 1 โซนสำหรับเจ้าของ และ 2 โซนสำหรับสุนัขค่ะ ภายในที่พักตกแต่งในในสไตล์โรงนาอังกฤษใช้สีโทนฟ้าขาว ตัดกับสีของพื้นที่ใช้ไม้เป็นวัสดุดูกลมกลืนกับธรรมชาติมากๆ แถมสระว่ายน้ำก็แยก 2 สระ เป็นสระสำหรับลูกค้า และสำหรับน้องหมาโดยเฉพาะเลย นอกจากนี้ยังมีคาเฟ่ ยังมีร้านขายของที่ระลึก
12,แอท นาธา เชียงใหม่ ชิคจังเกิ้ล รีสอร์ท,At NaTa Chiangmai Chic Jungle Resort,รีสอร์ท,18.9063336,98.9041163,489902.58,2090466.31,"เริ่มต้น 2,400 บาท",https://www.facebook.com/atnatachiangmai/,"053-044121, 081-6031717",ที่พักน่ารักสไตล์ลอฟท์ อยู่ท่ามกลางธรรมชาติ ด้านหน้าที่พักมีธารน้ำตกแม่สาไหลผ่านตลอดทั้งปี ห้องพักมีให้เลือกถึง 4 แบบมีห้องประชุมสำหรับกรุ๊ปสัมนาเล็กๆ ที่สำคัญที่นี่สามารถนำสัตว์เลี้ยงเข้าพักได้ด้วย คนที่รักน้องหมาน้องแมวไม่ควรพลาด พื้นที่ส่วนกลางก็มีทั้งสระว่ายน้ำ คาเฟ่ ร้านอาหาร มุมนั่งเล่นบริเวณรอบๆที่พัก และโซนริมน้ำที่สุดจะชิล
13,รายา เฮอริเทจ,Raya Heritage,รีสอร์ท,18.8488569,98.9830616,498215.67,2084104.03," เริ่มต้น 5,000-9,000บาท ",https://www.rayaheritage.com/en/ ,053-111670,ที่พักท่ามกลางธรรมชาติ ที่เมื่อเพื่อนๆ เข้ามาพักแล้วจะได้สัมผัสความรู้สึกการพักผ่อนท่ามกลางบรรยากาศอันสงบร่มรื่นริมฝั่งแม่น้ำปิง ซึ่งการตกแต่งของที่นี่ก็จะเป็นสไตล์โคซี่ เรียบง่ายแต่หรูหรา เน้นใช้โทนสีเอิร์ธโทนเป็นหลัก ทำให้แขกผู้เข้าพักอบอุ่นและผ่อนคลาย รวมถึงภายในบริเวณโรงแรมก็ยังตกแต่งด้วยงานหัตถกรรมพื้นบ้าน และสิ่งของเครื่องใช้ที่มีความเป็นเอกลักษณ์เปรียบเสมือนประตูทางวัฒนธรรมที่ถูกสร้างขึ้นเพื่อถ่ายทอดเสน่ห์ของวิถีชีวิตล้านนาดั้งเดิมแก่ผู้มาเยือน
14,โมริ เนเชอรัล ฟาร์ม,Mori Natural Farm,ฟาร์มสเตย์,18.8669499,98.8290823,481996.63,2086114.55,"เริ่มต้น 3,300 บาท /หลัง",-,081-787-8595,"เป็นฟาร์มสเตย์เล็กๆ  ที่ผสมผสานกลิ่นอายความเป็นล้านนาและญี่ปุ่นได้อย่างลงตัว เน้นบริการที่เป็นกันเองที่ได้ฟีลเหมือนมานอนบ้านญาติต่างจังหวัด สำหรับบ้านพัก อยู่เพียงแค่ 4 หลัง กับอีก 1 ห้อง คือ บ้านเรียวคัง บ้านพักสไตล์ญี่ปุ่นสำหรับ 2 คน , บ้านหลองข้าว บ้านพักสไตล์ล้านนาสำหรับ 2 คน,บ้านคอทเทจ เป็นบ้านเล็กๆ สไตล์ cottage garden สำหรับ 2 คน,บ้านโรงนา บ้านพักหลังใหญ่ที่สุดพักได้ 4-6 คน และห้องสุดท้าย ห้องทาทามิ ห้องเล็กๆ น่ารักแบบฉบับเจแปนปูพื้นด้วยเสื่อทาทามิของแท้จากญี่ปุ่นและนอนบนฟูกฟูตงแบบต้นตำหรับ"
15,สเตย์ ไวลด์ แอนด คาเฟ่,Stay Wild & Café,โฮมสเตย์,19.2251325,98.8127302,480316.48,2125748.82,"เริ่มต้น 2,400 บาท",https://www.facebook.com/Stay-Wild-Caf%C3%A9-415176748866164/,089-4416365,ที่พักริมลำธารที่มีคาเฟ่ในตัวกลางป่าใหญ่ ที่ออกแบบบ้านพักดีไซน์สวยงามที่ให้ความรู้สึกชิลเหมือนการมาพักที่บ้านเพื่อน ตัวบ้านพักมีจำนวน 9 หลัง ออกแบบมาในสไตล์บาหลี ที่ะเน้นไม้เป็นหลัก จึงทำให้ได้บรรยากาศอบอุ่น... ส่วนภายในห้องพักก็จะมีสิ่งอำนวยความสะดวกครบครัน แถมยังสามารถนอนชมวิวลำธารได้จากบนเตียงเลย นอนฟังเสียงลำธารพร้อมชมวิวหมอก
16,บ้านธารกล่อม,bannthanklom,รีสอร์ท,19.2321967,98.877688,487144.63,2126524.38,"เริ่มต้น 1,500 บาท",https://www.facebook.com/bannthanklom/ ,095-6901827,เป็นที่พักตีนดอยแม่ตะมานริมลำธารที่มีน้ำไหลใสเย็นตลอดปี โดยที่นี่เกิดขึ้นจากไอเดียของเจ้าของที่อยากเชื่อมโยงระหว่างผู้คนกับธรรมชาติ ให้ผู้เข้าพักสามารถใช้วันหยุดไปกับการพักผ่อนได้อย่างเต็มอิ่ม ในส่วนของบ้านพัก มีให้เลือกทั้งหมด 8 แบบ ซึ่งแต่ละแบบจะเน้นการตกแต่งและออกแบบแบบเรียบง่ายและกลมกลืนกับบริบทรอบข้าง เน้นการใช้ไม้เป็นหลัก โดยการตกแต่งทั้งภายในและภายนอกห้องก็จะเน้นความเป็นธรรมชาติ มีเสน่ห์ในตัวเอง ไม่ต้องปรุงแต่งมากมาย ทำให้เรารู้สึกเย็นสบาย เมื่ออยู่ท่ามกลางป่าเขาด้วยแล้ว ยิ่งชวนให้เอนกายนอกพักทั้งวันเลยทีเดียว
17,บ้านพัก แม่กลางหลวงวิว,Maekalng Luang View,โฮมสเตย์,18.54064,98.5470878,452201.38,2050061.61,"ห้องแถว 2 ท่าน 600 บาท หลัง 4 ท่าน 1,500 บาท หลัง 10 ท่าน 4,000 บาท (ไม่รวมอาหารเช้า)",https://www.facebook.com/%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%B1%E0%B8%81-%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%A7%E0%B8%B4%E0%B8%A7-278264125660345/,086-1894075,ที่นี่ห้องพักเยอะ มีหลากหลายห้องให้เลือก มา 2 คน หรือ 4 คนก็สามารถมามาพักได้สบายๆ ส่วนวิว บรรยากาศรอบห้องพักเป็นวิวนาขั้นบันได
18,บ้านระเบียงนา ป่าบงเปียง,Ban rabiangna pa bong piang,โฮมสเตย์,18.5304646,98.4424215,441151.49,2048966.75,ราคาท่านละ 500 บาท,https://www.facebook.com/sombutchai02577/,0807946883,ที่มีห้องพักเป็นบ้านไม้บนเนินที่สามารถชมวิวนาขั้นบันไดได้แบบสุดลูกหูลูกตา ด้านหน้าห้องก็จะมีชานระเบียงไม้ให้นั่งทานอาหาร นั่งชมวิว รวมถึงมีมุมถ่ายรูปยอดฮิต ที่เป็นสะพานไม้สั้นๆ ยื่นออกไปตรงเนิน
19,บ้านไม้ไผ่ยักษ์,Giant bamboo hut,โฮมสเตย์,18.5407179,98.5399991,451453.25,2050072.13,"ท่านละ 1,200 บาท",https://www.facebook.com/Giant-Bamboo-Hut-356513381353632/,081-8812471,ที่พักดีไซน์เก๋ สร้างด้วยไม้ไผ่ สูง 3 ชั้น อิงแอบนาขั้นบันไดบ้านแม่กลางหลวง และติดกับลำธารจากน้ำตกผาดอกเสี้ยว ที่นี่ตั้งอยู่ระหว่างเส้นทางเดินธรรมชาติผาดอกเสี้ยว ห่างจากหมู่บ้านเเม่กลางหลางประมาณ 1 กม. บ้านทั้งหลังมี 2 ชั้น มี 2 ห้องนอน 2 ห้องน้ำ  ชั้นล่างเป็นห้องโถงสำหรับนั่งเล่น ทางเรารับนักท่องเที่ยวเพียงหนึ่งกลุ่มต่อคืนเท่านั้นเพื่อเน้นความสงบ
